2019,"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Gross revenue,"13,841,776","13,300,612","617,008","16,217",-,"27,775,613"
"Insurance premium ceded to
reinsurers","(254,636)","(3,772,923)",-,-,-,"(4,027,559)"
Net revenue,"13,587,140","9,527,689","617,008","16,217",-,"23,748,054"
Net income from investment property,"(525,400)",-,"(17,308)","(1,026,134)","(74,548)","(1,643,390)"
Interest and dividend income,"6,082,450","1,129,890","5,748","10,237","1,250,942","8,479,267"
Net realised gains on financial assets,"296,375","80,078","2,587",-,"98,621","477,661"
"Net unrealised fair value gains
on financial assets at fair value
through profit or loss","2,854,707",(285),"(1,437)",-,"1,447,070","4,300,055"
Commission earned,"45,301","954,569",-,-,-,"999,870"
Other operating income,"9,700","21,685","7,148","17,082","9,639","65,254"
Net income,"22,350,273","11,713,626","613,746","(982,598)","2,731,724","36,426,771"
"Insurance claims and loss
adjustment expenses","4,736,857","7,242,963",-,-,-,"11,979,820"
"Insurance claims recovered from
reinsurers","(94,220)","(1,595,014)",-,-,-,"(1,689,234)"
"Change in actuarial value of
policyholders benefits","5,151,919",-,-,-,-,"5,151,919"
Net insurance benefits and claims,"9,794,556","5,647,949",-,-,-,"15,442,505"
"Interest payments/ increase in unit
value","3,889,475",-,-,-,-,"3,889,475"
Acquisition expenses,"1,502,330","1,800,534","158,458",-,-,"3,461,322"
Finance costs,"107,529","91,148","24,339","31,988","649,387","904,391"
Expenses,"3,402,393","4,442,665","587,071","144,429","358,797","8,935,355"
Net expenses,"18,696,283","11,982,296","769,868","176,417","1,008,184","32,633,048"
Reportable segment (loss)/profit,"3,653,990","(268,670)","(156,122)","(1,159,015)","1,723,540","3,793,723"
Share of loss of associate,"(31,723)",-,-,-,"(21,376)","(53,099)"
Segment (loss)/profit before tax,"3,622,267","(263,670)","(156,122)","(1,159,015)","1,702,164","3,740,624"
Tax expense/(credit),"(1,092,066)","75,825","31,941","(26,165)","(17,933)","(1,028,398)"
Segment (loss)/profit after tax,"2,530,201","(192,845)","(124,181)","(1,185,180)","1,684,231","2,712,226"
