INSURANCE RISK,Column,Column,Column,Column
Risk Description,Source of Risk,,Mitigation,
"The risk that the
claims and premium
liabilities estimated
are lower than the
actual claims that
the company ends up
settling.",Life Insurance,,•,"A framework for product development and
management that ensures products and propositions
match the customers’ needs"
,"•
•
•
•","Longevity
Persistency
Mortality and Morbidity
Expenses",,
,,,•,"Adequate pricing, underwriting, claims management
and frequent profit testing"
,,,•,"Use of reinsurance to reduce the financial impact of
a catastrophe and manage earnings volatility"
,"We take measured amounts of life insurance
risk provided we have the appropriate core
skills in underwriting and pricing.
General Insurance",,,
,,,•,"Using a rigorous and consistent reserving
methodology to derive the best estimate, with the
results subject to internal and external scrutiny,
including independent and audit reviews."
,"•
•
•
•","Underwriting
Expenses
Catastrophe
Reserving",•,"Extensive use of data, financial models and analysis
to improve pricing and risk selection"
,,,•,"Underwriting appetite framework linked to
delegations of authority that govern underwriting
decisions and underwriting limits"
,"We take general insurance risk in measured
amounts for explicit reward, in line with our
core skills in underwriting and pricing. We
have a preference for those risks that we
understand well, that are intrinsically well
managed and where there is a spread of
risks in the same category.",,,
,,,•,"Additional capital is retained in accordance with
the Risk-Based Capital rule to protect the company
against this risk."
