Column,2014,2015,2016,2017,2018
NEP,"11,792","16,374","17,394","20,298","21,062"
Fund management fees,696,719,929,761,661
PBT,"3,212","-1,195","4,239",866,"2,296"
OPEX,"4,616","6,717","7,095","7,356","8,245"
