Total assets,Column,Column,Column,Column,Column,Column
Liabilities,,,,,,
Payables,,,,,,
Retirement benefit liability,"14,080","14,080","49,547","50,076","25,715","35,433"
Bank loan,,,,,,
Dividend payable,"138,445",-,-,,,"60,000"
Overdraft,,,,,,
Current income tax payable,"104,675","74,803",-,"14,172","23,189",-
Total liabilities,,,,,,
Net assets,"16,506,325","12,472,324","11,085,549","8,557,448","10,569,980","5,207,098"
