Name,Position,"Annual
Retainer
(Shs)","Sitting
Allowances
(Shs)","Other
Allowances
(Shs)","Salaries
& Other
Benefits
(Shs)",Total (Shs)
Mr. W. Andrew Hollas*,Chairman,"1,350,000","2,950,000","3,780,000",-,"8,080,000"
Dr. Peter K. Munga,Non-Executive Director,"2,600,000","4,501,500",-,-,"7,101,500"
Mr. Jimnah M. Mbaru,Non-Executive Director,"1,200,000","2,558,500",-,-,"3,758,500"
Mr. Mohamed S. Karama**,"Non-Executive Director
(Ag.Chairman)","1,200,000","4,908,500",-,-,"6,108,500"
Ms. Caroline J. Kigen,Non-Executive Director,"1,200,000","4,094,500",-,-,"5,294,500"
"Ms. Marianne Loner/
International Finance
Corporation (IFC)",Non-Executive Director,"1,200,000","3,237,500",-,-,"4,437,500"
"Mr. George Odo/AfricInvest
III SPV 1",Non-Executive Director,"1,200,000","3,971,000",-,-,"5,171,000"
Mr. Christopher Minter,Non-Executive Director,-,-,-,-,-
Ms. Josephine Ossiya,Non-Executive Director,"1,825,000","3,216,500",-,-,"5,041,500"
Mr. Stephen Wandera***,Non-Executive Director,"2,500,000","4,455,000",-,-,"6,955,000"
Dr.Benson I. Wairegi****,"Group Managing
Director",-,-,-,"95,905,415","95,905,415"
Total,,"14,275,000","33,893,000","3,780,000","95,905,415","147,853,415"
