Accident year,2014,2015,2016,2017,2018,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Estimate of ultimate claims costs:,,,,,,
- at end of accident year,"3,201,096","4,813,690","3,552,951","3,536,219","6,881,629","21,985,585"
- one year later,"3,336,529","4,892,301","3,653,888","3,714,660",-,"15,597,378"
- two years later,"3,337,851","4,877,832","3,709,838",-,-,"11,925,521"
- three years later,"3,336,425","4,707,141",-,-,-,"8,043,566"
- four years later,"3,367,889",-,-,-,-,"3,367,889"
"Current estimate of cumulative
claims","3,367,889","4,707,141","3,709,838","3,714,660","6,881,629","22,381,157"
Add: Incurred but not Reported,"106,425","246,858","344,498","481,950","1,530,909","2,710,640"
Add: Liability in respect of prior years,"348,784",-,-,-,-,"348,784"
Less: Cumulative payments to date,"(3,258,888)","(4,384,791)","(3,400,766)","(3,034,717)","(5,234,520)","(19,313,682)"
"Liability included in the statement
of financial position","564,210","569,208","653,570","1,161,893","3,178,018","6,126,899"
