At 31 December 2006,0 - 4 months,5-12 months,1-5 years,Over 5 years,TOTALS
,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
Company liabilities,,,,,
Bank loan,-,-,-,-,-
Due to related parties,-,-,"468,540",-,"468,540"
Other payables,-,449,-,-,449
"Total financial liabilities (expected
maturity dates)",-,449,"468,540",-,"468,989"
