Column,"Fair value
reserve","Revaluation
reserve","General
reserves",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Balance at 1 January 2006,"209,000","2,086",-,"211,086"
Revaluation gain on building,,"4,916",-,"4,916"
"Revaluation gain on available for sale quoted
investments","495,525",-,-,"495,525"
Balance at 31 December 2006,"704,525","7,002",-,"711,527"
Balance at 1 January 2007,"704,525","7,002",-,"711,527"
Revaluation gain on building,-,"14,544",-,"14,544"
"Revaluation gain on available for sale quoted
investments","2,380,893",-,-,"2,380,893"
Balance at 31 December 2007,"3,085,418","21,546",-,"3,106,964"
