KPI (Shs million),FY16,FY15,% Growth
Gross Earned Premiums,"20,292","19,606",3%
"Fund management fees
0.6",929,719,29%
"Kenya 2.6%
Investment Income
1.0%
1.0%","5,224","4,340",20%
PBT,"4,239","(1,194)",455%
"Tanzania 1.0%
Total Comprehensive
Income/(loss)",785,"(3,183)",125%
