Column,"Life
Risk","Life
Savings","Investment
contracts
with DPF",Non-Life,Total
Year ended 31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"The effect of time value of money and changes in
the time value of money, based on the locked-in
interest rates:
Interest accreted on the carrying amount of
the CSM
Interest accreted on present value cash flows
Interest accreted on risk adjustment
Interest accreted on LRC for contracts measured
under the PAA.","(3,438,198)
(364,998)
(3,021,220)
(51,980)
-","(4,109,498)
(836,128)
(3,161,018)
(112,352)
-","(2,975)
-
(2,964)
(11)
-","(1,340,845)
(24,489)
(1,231,490)
(84,869)
3","(8,891,516)
(1,225,615)
(7,416,692)
(249,212)
3"
"The effect of financial risk and changes in
financial risk
Foreign exchange differences on changes in the
carrying amount of groups of insurance contracts
Changes in fair value of underlying items of direct
participating contracts","(2,414,597)
-
-","(2,444,274)
-
-","(17)
-
(12,903,278)","(523,182)
(558,184)
(386)","(5,382,070)
(558,184)
(12,903,664)"
"Total insurance finance expense from insurance
contracts issued","(5,852,795)","(6,553,772)","(12,906,270)","(2,422,597)","(27,735,434)"
"The effect of time value of money and changes in
the time value of money, based on the locked-in
interest rates:
Interest accreted on present value cash flows
Interest accreted on risk adjustment
Interest accreted on LRC for contracts measured
under the PAA.","137,707
129,832
7,615
260","-
-
-
-","-
-
-
-","615,583
575,243
40,340
-","753,290
705,075
47,955
260"
"The effect of financial risk and changes in
financial risk
Foreign exchange differences on changes in the
carrying amount of groups of insurance contracts","12,247
-","-
-","-
-","227,990
302,572","240,237
302,572"
"Total insurance finance income from reinsurance
contracts held","149,954",-,-,"1,146,145","1,296,099"
Net insurance finance expenses,"(5,702,841)","(6,553,772)","(12,906,270)","(1,276,452)","(26,439,335)"
