"Property, plant and equipment",17(a),"1,556,593","1,632,745"
,18,"155,981",
Intangible assets,19(a),"568,191","578,810"
,20(b),"42,250",
Deferred income tax,27(a),"431,839","346,804"
,,"2,754,854",
Current assets,,,
,21(a),"224,199",
Trade and other receivables,22(a),"1,043,367","1,060,710"
,15(c),"18,075",
Cash and bank balances,31(i)(b),"14,345","92,802"
,,"1,299,986",
TOTAL ASSETS,,"4,054,840","4,195,946"
Share capital,23(a),"408,654","408,654"
,23(b),"39,380",
Capital redemption reserve,24(a),102,102
,24(b),"474,631",
Attributable to owners of the company,,"922,767","1,182,101"
,25,"196,811",
,,"1,119,578","1,421,210"
Borrowings,28(a),"345,832","405,637"
,18(b),"26,465",
,,"372,297",
Current liabilities,,,
,28(a),"567,178",
Trade and other payables,29(a),"1,889,343","1,604,329"
,18(b),"29,179",
Due to related parties,26(a),"77,265","76,805"
,,"2,562,965",
TOTAL EQUITY AND LIABILITIES,,"4,054,840","4,195,946"
