"HP Loans
KShs’000","Term loans
KShs’000","Overdrafts
KShs’000","2014
Total
KShs’000","2013
Total
KShs’000"
"39,230","262,950
124,385
138,889
526,224
262,950
263,275
464,575
397,563
(335,914)
-
526,224","310,547","612,727
144,357
146,815
903,899
612,727
291,172
896,321
397,563
(388,684)
( 1,301)
903,899","581,767"
"19,972",,-,,"171,188"
"7,926",,-,,"143,364"
"67,128",,"310,547",,"896,319"
"39,230",,"310,547",,"581,767"
"27,897",,-,,"314,552"
"119,898",,"311,848",,"650,452"
-,,-,,"802,588"
"( 52,770)",,-,,"(563,549)"
-,,"( 1,301)",,"6,828"
"67,128",,"310,547",,"896,319"
,"HP Loans
KShs’000","Term loans
KShs’000","Overdrafts
KShs’000","Total
KShs’000"
,"13,743
-
52,306
1,079
67,128
26,062
-
85,117
8,718
119,897",,"141,012
-
169,535
-
310,547
150,878
-
160,970
-
311,848",
,,"159,816",,"314,571"
,,"94,525",,"94,525"
,,"271,883",,"493,724"
,,-,,"1,079"
,,"526,224",,"903,899"
,,"228,496",,"405,436"
,,"85,848",,"85,848"
,,"150,230",,"396,317"
,,-,,"8,718"
,,"464,574",,"896,319"
