2013:,"Buildings
Shs’000","Plant &
machinery
Shs’000","Motor
vehicles
Shs’000","Furniture
fittings &
equipment
Shs’000","Capital
work in
progress
Shs’000","Total
Shs’000"
,"454,288",,"151,593",,"63,236",
,-,,"80,115",,"148,836",
,-,,"(32,520)",,-,
,"129,753",,-,,"(142,972)",
,-,,-,,"(65,807)",
,-,,-,,-,
,"584,041",,"199,188",,"3,293",
,"30,991",,"108,763",,-,
,"9,974",,"50,714",,-,
,-,,-,,-,
,-,,"(31,696)",,-,
,"40,965",,"127,781",,-,
,"543,076",,"71,407",,"3,293",
,"448,398",,"131,222",,"58,228",
,"5,890",,"28,144",,"62,182",
,-,,"(7,773)",,-,
,-,,-,,"(57,174)",
,-,,-,,-,
,"454,288",,"151,593",,"63,236",
,"21,910",,"84,520",,-,
,"9,081",,"30,076",,-,
,-,,-,,-,
,-,,"(5,833)",,-,
,"30,991",,"108,763",,-,
,"423,297",,"42,830",,"63,236",
