Note,"2014
KShs’000","2013
KShs’000"
7,,"4,818,808"
8,,"(1,652,041)"
9,,"73,584"
10,,"( 523,013)"
11,,"(2,297,530)"
12,,"( 119,128)"
13,,"300,680"
15(a),,"( 111,187)"
,,"189,493"
,,"189,493"
25,,"( 7,919)"
,,"197,412"
,,"189,493"
16,,2.41
