"2014
KShs ‘000","2013
KShs ‘000"
"340,971",
"236,402",
"(212,632)",
"(113,408)",
"251,333",
2014,
KShs ‘000,
"292,999",
"190,547",
"(177,509)",
"( 97,031)",
"209,006",
