2020,Column,Column,Column,Column
At start of year,"84,161","24,073",-,"108,234"
Additions,-,-,"4,406","4,406"
"Repayment of interest on lease
liability","(10,941)","(3,102)",-,"(14,043)"
"Repayment of principal on lease
liability","(23,129)","(14,946)",(268),"(38,343)"
Interest expense,"10,941","3,102",-,"14,043"
Transfer to trade payable,"(9,526)","(9,127)",-,"(18,653)"
At end of year,"51,506",-,"4,138","55,644"
