- Continuing operations,Column,"(309,894)","(406,866)"
,,"50,560","(22,612)"
Total loss attributable to owners,,"(259,334)","(429,478)"
,,"81,731,808","81,731,808"
Earnings per share – continuing operations,16,(3.79),(4.98)
– Basic and diluted (KShs),,,
,16,0.62,(0.28)
