Column,Notes,"2021
KShs’000","2020
KShs’000"
Cash flows from operating activities,,,
Cash generated from operations,32(i) (a),"358,244","316,227"
,13,"(151,694)",
Interest expense on lease,19(b),"(11,131)","(14,043)"
,15(c),-,
,,"195,419",
,20(a),-,
"Purchase of property, plant and equipment",17(a),"(188,318)","(175,822)"
,,"3,424",
,,"(184,894)",
,19(c),"(40,294)",
Proceeds from borrowings,29(a),"4,266,285","2,629,312"
,29(a),"(4,266,778)",
,,"(40,787)",
,,"(30,262)",
Cash and cash equivalents at start of the year,,"(159,565)","(71,937)"
Cash and cash equivalents at end of year,32(i)(b),"(189,827)","(159,565)"
