Cash generated from operations,31(i) (a),"330,762","837,328"
,13,"(150,319)",
Interest expense on lease liability,18(b),"(14,043)","(19,911)"
,15(c),"(3,765)",
,,"162,635",
,19(a),"(15,691)",
"Purchase of property, plant and equipment",17(a),"(175,822)","(91,169)"
,,"6,121",
Proceeds from disposal of discontinued operation,,"55,000",-
Net cash flows from investing activities,,"(130,392)","(124,616)"
Cash flows from financing activities,,,
Dividends paid,18(c),-,"(3,073)"
,,"(38,343)",
Proceeds from borrowings,28(a),"804,341","918,318"
,28(a),"(885,869)",
,,"(119,871)",
,,"(87,628)",
Cash and cash equivalents at start of the year,,"(71,937)","(151,677)"
Cash and cash equivalents at end of year,31(i)(b),"(159,565)","(71,937)"
