Financial assets,Column,Column,Column,Column
,"1,575",746,12,
Foreign debtors,"16,669",-,-,"16,669"
Financial liabilities,,,,
,"(129,641)","(51,844)","9,040",
Net foreign currency liability,"(111,397)","(51,098)","9,052","(153,443)"
