Financial liabilities,Column,Column,Column,Column
,"913,010",-,"913,010",
Trade and other payables,"1,889,343",-,"1,889,343","1,889,343"
,"55,644",-,"55,644",
Amount due to related parties,"77,265",-,"77,265","77,265"
,"2,935,262",-,"2,935,262",
