"For the year ended 31
December 2021","Trademark
KShs’000","Software
KShs’000","Broadcasting
licenses
KShs’000","Total
KShs’000"
Cost,,,,
At start of year,"23,250","633,664","391,863","1,048,777"
Write off,"(17,250)",-,-,"(17,250)"
At end of year,"6,000","633,664","391,863","1,031,527"
Amortisation,,,,
At start of year,-,"(580,559)",-,"(580,559)"
Charge for the year,-,"(21,161)",-,"(21,161)"
At end of year,-,"(601,720)",-,"(601,720)"
Carrying amount at end of year,"6,000","31,944","391,863","429,807"
"For the year ended 31
December 2020",,,,
Cost,,,,
At start of year,"23,250","611,145","384,363","1,018,758"
Additions,-,"8,191","7,500","15,691"
Transfer PPE**,-,"14,328",-,"14,328"
At end of year,"23,250","633,664","391,863","1,048,777"
Amortisation,,,,
At start of year,-,"(548,087)",-,"(548,087)"
Charge for the year,-,"(32,472)",-,"(32,472)"
At end of year,-,"(580,559)",-,"(580,559)"
Carrying amount at end of year,"23,250","53,105","391,863","468,218"
