Group,"Trademarks
Shs’000","Software
Shs’000","Broadcasting
Licenses
Shs’000","2013
Shs’000","2012
Shs’000"
,"6,000",,"66,875",,"137,192"
,,,-,,"1,154"
,-,,"50,780",,-
,"6,000",,"117,655",,"138,346"
,-,,-,,"51,348"
,-,,-,,"9,777"
,-,,-,,"61,125"
,"6,000",,"117,655",,"77,221"
,"6,000",,-,,"70,317"
,-,,-,,"1,154"
,-,,"50,780",,-
,"6,000",,"50,780",,"71,471"
,-,,-,,"51,348"
,-,,-,,"9,777"
,-,,-,,"61,125"
,"6,000",,"50,780",,"10,346"
