"HP Loans
Shs’000","Term loans
Shs’000","Overdrafts
Shs’000","Total
Shs’000"
"26,062",,"173,384",
-,,-,
"85,117",,"169,720",
"8,718",,-,
"119,897",,"343,104",
"12,749",,"147,694",
-,,-,
"42,119",,"168,429",
"14,966",,-,
"69,834",,"316,123",
