Depreciation,Column,Column,Column,Column,Column,Column
At start of year,"114,608","1,170,672","144,181","514,401",-,"1,943,862"
"Charge for the year-
continuing operations","16,197","114,784","24,327","22,134",-,"177,442"
"Charge for the
year-discontinued
operations",-,"2,251",-,-,-,"2,251"
Elimination on disposal,-,"(204,41)","(5,331)","(6,667)",-,"(216,409)"
"Reallocation to asset
classes",-,"70,881",-,"(70,881)",-,-
At end of year,"130,805","1,154,177","163,177","458,987",-,"1,907,146"
Net book value,"548,264","615,247","19,741","110,241","89,357","1,382,850"
