"Property, plant and equipment","126,446","148,754"
Other temporary differences,"(294,362)","(361,312)"
Unrealised exchange gains and losses,"2,411","(2,738)"
Lease liabilities,"(20,594)","(16,693)"
Right-of-use asset,"47,852","14,057"
Tax losses carried foward,"(242,396)","(213,907)"
At 31 December,"(380,642)","(431,839)"
