Note,"2013
Shs’000","2012
Shs’000"
7,,"3,617,816"
8,,"(1,374,136)"
9,,"112,271"
10,,"(283,968)"
11,,"(1,648,693)"
12,,"(157,926)"
13,,"265,364"
15(a),,"(82,057)"
,,"183,307"
,,-
,,"183,307"
25,,"(25,529)"
,,"208,836"
,,"183,307"
,,Shs
16(a),,2.56
16(b),,2.56
,,-
