Financial assets,Column,Column,Column,Column
,(107),"4,810",475,
Foreign debtors,"18,118",,,"18,118"
Trade payables,"(78,821)","(63,193)","(10,653)","(152,667)"
,"(60,810)","(58,383)","(10,178)",
