"19.INTANGIBLE ASSETS Broadcasting
(a) Group Trademarks Software Licenses 2015 2014
KShs’000 KShs’000 KShs’000 KShs’000 KShs’000",Column,Column,Column,Column,Column
,"6,000
-
-","161,628
8,653
324,974","117,655
-
-","285,283
8,653
324,974","256,308
82,568
( 53,593)"
,"6,000","495,255","117,655","618,910","285,283"
,"-
-","75,927
95,486","-
-","75,927
95,486","65,166
10,761"
,-,"171,413",-,"171,413","75,927"
,"6,000
6,000
-
-","323,842
161,628
8,653
324,974","117,655
50,780
-
-","447,497
218,408
8,653
324,974","209,356
189,433
82,568
(53,593)"
,"6,000","495,255","50,780","552,035","218,408"
,"-
-","75,927
95,485","-
-","75,927
95,485","65,166
10,761"
,-,"171,412",-,"171,412","75,927"
,"6,000",,"50,780",,"142,481"
