Column,Level 1,Column,Column,Level 2,Level 3
,,Le,v,,
,,,,"Valuation models with
directly or indirectly
market observable inputs",
,,Un,a,,
,,an,a,,
"Types of
financial
assets:","Actively traded government
and other agency securities
Listed derivative instruments
Listed equities",,,"Corporate and other gov-
ernment bonds and loans
Over-the-counter (OTC)
derivatives","Corporate bonds in
illiquid markets
Highly structured OTC
derivatives with unob-
servable parameters"
,Listed derivative instruments,,,"Over-the-counter (OTC)
derivatives",
