The Standard Media Group Holdings,Column,Column,Column
,-,"14,887",
Trade World (K) Limited (shareholders),8.0,"8,432","7,895"
,8.0,"62,196",
Standard Production Services Ltd,,"260,948","90,950"
,,"346,463","168,215"
Standard Media Group Holdings Limited,-,"14,887","14,887"
,8.0,"8,432",
Miller Trustees Limited,8.0,"62,196","58,236"
,,"259,053",
The Standard Limited,-,"10,590","10,590"
,,"260,948",
,,"616,106",
