Column,Notes,"2021
KShs’000","2020
KShs’000"
"Loss attributable to owners of the Company –
KShs’000",,,
- Continuing operations,,"(65,800)","(309,894)"
- Discontinued operations,,-,"50,560"
Total loss attributable to owners,,"(65,800)","(259,334)"
Number of shares during the year,,"81,731,808","81,731,808"
"Earnings per share – continuing operations – Basic and
diluted (KShs)",16,(0.81),(3.79)
"Earnings per share – discontinued operations - Basic
(KShs)",16,-,0.62
