"The loss before taxation is arrived at
after charging/(crediting) the following items:",Column,Column
,"177,442",
Right of use asset depreciation,"58,483","59,387"
,"32,472",
Directors’ emoluments:,,
,"4,475",
- Executive directors,"26,048","38,466"
,"3,890",
Gain on disposal of plant and equipment,"5,576","(5,957)"
