At 1 January,"23,250","611,145","384,363","1,018,758"
,-,"8,191","7,500",
Transfer PPE**,-,"14,328",-,"14,328"
At 31 December,"23,250","633,664","391,863","1,048,777"
At 1 January,-,"(548,087)",-,"(548,087)"
,-,"(32,472)",-,
At 31 December,-,"(580,559)",-,"(580,559)"
At 31 December,"23,250","53,105","391,863","468,218"
At 1 January,"6,000","595,018","369,363","970,381"
,"17,250","13,049","15,000",
Transfer PPE**,-,"3,078",-,"3,078"
At 31 December,"23,250","611,145","384,363","1,018,758"
At 1 January,-,"(464,677)",-,"(464,677)"
,-,"(83,410)",-,
At 31 December,-,"(548,087)",-,"(548,087)"
At 31 December,"23,250","63,058","384,363","470,671"
