Depreciation,Column,Column,Column,Column,Column,Column
At start of year,"130,451","1,751,626","145,737","642,203",-,"2,670,017"
"Charge for the year-
continuing operations","17,809","156,973","24,705","27,136",-,"226,623"
"Charge for the
year-discontinued
operations",-,"2,251",-,-,-,"2,251"
"Reallocation to asset
classes",-,"70,881",-,"(70,881)",-,-
Disposals,-,"(204,411)","(5,331)","(6,667)",-,"(216,409)"
At end of year,"148,260","1,777,320","165,111","591,791",-,"2,682,482"
Net book value,"611,414","756,761","19,319","79,742)","89,357","1,556,593"
