COMPANY,Column,Column
"The loss before taxation is arrived at after charging/
(crediting) the following items:",,
Depreciation for continuing operations – PPE,"167,131","177,442"
Right of use asset amortisation,"32,832","58,483"
Amortisation - Intangible assets,"21,161","32,472"
Directors’ emoluments:,,
- Fees - non-executive,"8,270","4,475"
- Executive directors,"28,676","26,048"
Auditors’ remuneration - current year,"5,768","3,890"
Gain on disposal of plant and equipment,"3,370","5,576"
