Cash generated from operations,31(ii) (a),"303,270","684,104"
,13,"(112,351)",
Interest expense on lease liability,18(b),"(14,043)","(19,911)"
,15(c),"(3,513)",
,,"173,363",
,19(b),"(15,691)",
"Purchase of property, plant and equipment",17(b),"(174,962)","(34,780)"
,,"6,124",
Proceeds from disposal of discontinued operation,,"55,000",-
Net cash flows from investing activities,,"(129,529)","(68,530)"
Cash flows from financing activities,,,
Principal elements of lease payments,18(c),"(38,343)","(44,929)"
,,-,
Proceeds from borrowings,28(b),"804,341","918,318"
,28(a),"(885,869)",
,,"(119,871)",
,,"(76,037)",
Cash and cash equivalents at start of year,,"(57,077)","(125,019)"
Cash and cash equivalents at end of year,31(ii) (b),"(133,114)","(57,077)"
