2013:,"Buildings
Shs’000","Plant &
machinery
Shs’000","Motor
vehicles
Shs’000","Furniture
fittings &
equipment
Shs’000","Capital
work in
progress
Shs’000","Total
Shs’000"
,"534,893",,"154,065",,"117,745",
,-,,"80,115",,"109,979",
,-,,"(34,845)",,-,
,-,,-,,-,
,-,,-,,"(65,807)",
,"129,753",,-,,"(158,625)",
,"664,646",,"199,335",,"3,292",
,"35,530",,"111,236",,-,
,"11,595",,"50,714",,-,
,-,,-,,-,
,-,,"(34,020)",,-,
,"47,125",,"127,930",,-,
,"617,521",,"71,405",,"3,292",
,"529,003",,"133,841",,"79,184",
,"5,890",,"28,144",,"95,735",
,-,,"(7,920)",,-,
,-,,-,,"(57,174)",
,-,,-,,-,
,"534,893",,"154,065",,"117,745",
,"24,829",,"87,140",,-,
,"10,701",,"30,076",,-,
,-,,-,,-,
,-,,"(5,980)",,-,
,"35,530",,"111,236",,-,
,"499,363",,"42,829",,"117,745",
