"Condensed Consolidated Cashfl ow Statement for the 6-month Period ended 30 June, 2018",Column,Column,Column,Column,Column,Column,Column,Column
,,,,r the 6-month Pe,,,,
"CASHFLOWS FROM OPERATING ACTIVITIES
Cash generated from operations
Interest Paid
Tax paid
Net cash generated from operating activities
Net cash used in investing activities
Net cash (used in)/generated from fi nancing activities
Net increase/(decrease) in cash & cash equivalents
Cash and cash equivalents at the beginning of the year
Cash and cash equivalents at the end of the period",,,,"6 Months ended
30-Jun-2018
Kshs’000
109,300
(90,507)
(40,001)",,"6 Months ended 12 Months ended
30-Jun-2017 31-Dec-2017
Kshs’000 Kshs’000
490,306 870,766
(86,704) (181,051)
(20,868) (36,490)",,
,,,,"(21,208)",,"382,734 653,225",,
,,,,"(18,764)
64,219",,"(540,189) (656,096)
20,926 (66,818)",,
,,,,"24,247
(369,851)",,"(136,529) (69,689)
(300,162) (300,162)",,
,,,,"(345,604)",,"(436,691) (369,851)",,
Consolidated Statement o,f Change,s in Equity,for the 6-,,month per,iod 30 June,", 2018",
"As at 1 January 2017
Profi t for the half year
Dividend paid
At 30 June 2017
As at 1 January 2018
Profi t for the half year
Dividend payable
At 30 June 2018","Share
Capital
Kshs'000
408,654
-","Share
Premium
Kshs'000
39,380
-","Capital
Redemption
Reserve
Kshs'000
102
-",,"Revenue
/reserve
(defi cit)
Kshs'000
1,428,014
(27,570)","S hareholders’
equity
Group
Kshs'000
1,876,150
(27,570)
-","Minority
Interest
Kshs'000
199,944
61,860","Shareholders’
equity
Total
Kshs'000
2,076,094
34,290
-"
,"408,654","39,380",102,,"1,400,444","1,848,580","261,804","2,110,384"
,"408,654
-","39,380
-","102
-",,"1,156,922
103,532
-","1,605,058
103,532
-","260,198
22,511
-","1,865,256
126,043
-"
,"408,654","39,380",102,,"1,260,454","1,708,590","282,709","1,991,299"
