Revenue,8,"2,893,929","4,051,870"
Direct costs,9,"(760,015)","(1,350,213)"
Other gains,10,"89,377","140,650"
Selling and distribution costs,11,"(306,061)","(536,002)"
Administrative expenses,12(a),"(2,112,697)","(2,758,242)"
Provision for expected credit losses,12(b),"(74,601)","(42,874)"
Finance costs,13,"(164,362)","(189,152)"
Loss before taxation,14,"(434,430)","(683,963)"
Income tax credit,15,"82,238","222,508"
Loss from continuing operations,,"(352,192)","(461,455)"
Profit/(loss) from discontinued operations,32,"50,560","(22,612)"
Total loss after tax for the year,,"(301,632)",
Other comprehensive income,,-,-
Total comprehensive loss for the year,,"(301,632)",
Attributable to:,,,
Non-controlling interests,25,"(42,298)","(54,589)"
Owners of the parent,,"(259,334)","(429,478)"
,,"(301,632)",
"Earnings per share for profit from continuing
operations attributable to the ordinary equity
holders of the company",16,(3.79),(4.98)
"Earnings per share – discontinued operations
- Basic (KShs)",16,0.62,
