member,Position,29.01.2016,4.03.2016,24.03.2016,24.06.2016,23.09.2016,05.012.2016,20.12.2016
Robin Sewell,Chairman,√,√,-,√,√,√,-
James Mcfie,"Non-Executive
Director",√,-,√,-,√,√,√
"Zehrabanu
Janmohamed","Non-Executive
Director",-,√,-,√,-,√,-
Samuel L. Tiampati,"Non-Executive
Director",√,√,√,-,√,-,√
Shaun Zambuni,"Non-Executive
Director",√,√,√,√,√,√,√
Sam Shollei,Executive Director,√,√,√,√,√,√,√
Orlando Lyomu,Executive Director,√,√,√,√,-,√,√
Francis Munywoki,Executive Director,√,√,√,√,√,√,√
