At start of year,"115,314","1,584,194","119,834","649,633",-,"2,468,975"
,"15,137","181,850","27,161","5,954",-,
"Charge for the year-
discontinued operations",-,"4,307",-,-,-,"4,307"
,-,"(18,725)","(1,258)","(13,384)",-,
At year end,"130,451","1,751,626","145,737","642,203",-,"2,670,017"
Net book value,"630,340","922,415","42,572","29,021","8,397","1,632,745"
