member,Position,26.02.2016,11.05.2016,20.05.2016,16.09.2016,25.10.2016,22.11.2016
Samuel L. Tiampati,Non-Executive Director,√,√,√,√,√,√
James Mcfie,Non-Executive Director,√,√,√,√,√,√
Zehrabanu Janmohamed,Non-Executive Director,√,-,-,-,-,-
Shaun Zambuni,Non-Executive Director,√,√,√,√,√,√
