Member,Position:,27.03,02.04*,15.05,18.06*,28.07,14.08,23.09*,26.10*,20.11
,"Chairman/
Indep.",√,√,√,√,√,×,√,√,
"Shaun
Zambuni",Non-Executiv,e √,√,√,√,√,√,√,√,√
,Independent,√,√,√,√,√,√,√,√,
"Dr. Julius
Kipngetich",Independent,√,√,√,√,√,√,√,√,√
,Non-Executiv,e √,√,√,√,√,√,√,√,
