Financial assets,Column,Column,Column,Column
,-,"840,608","840,608",
Cash and bank balances,-,"14,143","14,143","14,143"
,-,"854,751","854,751",
Financial liabilities,,,,
,"886,357",-,"886,357",
Lease liabilities,"55,644",-,"55,644","55,644"
,"328,214",-,"328,214",
Trade and other payables,"1,534,668",,"1,534,668","1,534,668"
,"2,804,883",-,"2,804,883",
