ASSETS,Note,"2013
Shs’000","2012
Shs’000"
,17(b),,"1,613,532"
,18,,"122,186"
,19(b),,"10,346"
,20,,"70,367"
,,,"1,816,431"
,21(b),,"255,667"
,22(b),,"702,717"
,26(b),,"181,582"
,15(c),,-
,,,"35,932"
,,,"1,175,898"
,,,"2,992,329"
,23(a),,"408,654"
,23(b),,"39,380"
,24(a),,102
,24(c),,"929,194"
,,,"1,377,330"
,26(a),,"122,264"
,27(b),,"253,718"
,28(b),,"198,261"
,,,"574,243"
,15(c),,"42,797"
,28(b),,"452,191"
,29(b),,"515,943"
,30(b),,"29,825"
,,,"1,040,756"
,,,"2,992,329"
