Director,"Board
(Out of 3 )","Audit
(Out of 1 )","Remuneration
(Out of 0 )","Finance and
Strategy
(Out of 15 )"
Robin Sewell,3,-,-,-
Paul Melly,2,1,-,14
James Mcfie,3,1,-,-
Zehrabanu Janmohamed,3,1,-,-
Samuel Lerionka,2,1,-,-
Sarvjeet Channa,2,1,-,15
Francis Munywoki,3,1,-,15
Sam Shollei,1,-,-,-
