Fees and sitting allowance,"2020
KShs’000","2019
KShs’000"
,720,
Samuel L. Tiampati***,403,"1,850"
,982,
Zehrabanu Janmohamed,845,"1,445"
,"1,092",
Dr. Julius Kipngetich,"1,137","2,145"
,983,
Dr. Evanson Gitahi,955,"1,430"
,458,
Total,"7,575","13,880"
