Condensed Consolidated Statement of Cashfl ows for the year ended 31 December 2018,Column,Column,Column,Column,Column,Column,Column,Column,Column
"CASHFLOWS FROM OPERATING ACTIVITIES
Cash generated from operations
Interest paid
Tax paid
Net cash generated from operating activities
Cashfl ows: Investing activities
Cashfl ows: Financing activities
Net increase/(decrease) in cash and cash equivalents
Cash and cash equivalents at the beginning of the year
Cash and cash equivalents at the end of the year",,,,,"31-Dec-2018
Kshs’000
520,013
(167,832)
(63,774)",,,"31-Dec-2017
Kshs’000
870,766
(181,051)
(36,490)",
,,,,,"288,407",,,"653,225",
,,,,,"(335,258)
265,025",,,"(656,096)
(66,818)",
,,,,,"218,174
(369,851)",,,"(69,689)
(300,162)",
,,,,,"(151,677)",,,"(369,851)",
Consolidated Statement o,f Change,s in Equity,for the ye,ar ended 3,,1 December,2018,,
"As at 1 January 2017
Profi t /(loss) for the year
At 31 December 2017
As at 1 January 2018
Accounting policy change (IFRS 9
Tax impact of IFRS 9
Profi t for the year
At 31 December 2018","Share
Capital
Kshs’000
408,654
-
408,654","Share
Premium
Kshs’000
39,380
-
39,380","Capital
Redemption
Reserve
Kshs’000
102
-
102","Retained
Earnings
Kshs’000
1,428,014
(271,092)
1,156,922",,"Attributable to
Equity Holders’
of the Parent
Kshs’000
1,876,150
(271,092)
1,605,058","Minority
Interest
Kshs’000
199,944
60,254
260,198",,"Total
Shareholders’
Equity
Kshs’000
2,076,094
(210,838)
1,865,256"
,"408,654","39,380",102,"1,156,922",,"1,605,058","260,198",,"1,865,256"
,")
-",-,-,"(201,875)
60,550
196,885",,"(201,875)
60,550
196,885","(44,144)
13,244
64,400",,"(246,019)
73,794
261,285"
,"408,654","39,380",102,"1,212,482",,"1,660,618","293,698",,"1,954,316"
