"Property, plant and equipment",17(b),"1,382,850","1,410,681"
,18,"155,981",
Intangible assets,19(b),"468,218","470,671"
,27(b),"313,791",
Investment in subsidiaries,20(a),"70,367","70,367"
,20(b),"42,250",
,,"2,433,457","2,458,872"
Inventories,21(b),"215,205","213,083"
,22(b),"840,608",
Current Income tax,15(c),"12,318","8,805"
,31(ii)(b),"14,143",
,,"1,082,274",
TOTAL ASSETS,,"3,515,731","3,563,090"
,23(a),"408,654",
Share premium,23(b),"39,380","39,380"
,24(a),102,
Retained earnings,24(b),"262,685","477,995"
,,"710,821",
Non-current liabilities,,,
,28(b),"345,832",
Lease liabilities,18(b),"26,465","48,439"
,,"372,297",
Current liabilities,,,
,28(b),"540,525",
Trade and other payables,29(b),"1,534,668","1,328,703"
,18(b),"29,179",
Due to related parties,26(b),"328,241","229,802"
,,"2,432,613",
TOTAL EQUITY AND LIABILITIES,,"3,515,731","3,563,090"
