Column,Column,2019,Column,2018,Column
Lease liabilities under I,FRS 16,,,,
Interest on lease liabiliti,es,,"19,911",,-
Low value leases,,,"4,138",,-
Short term leases,,,"13,719",,-
Operating leases unde,r IAS 17,,,,
Depreciation,,,-,,"79,087"
