Company,Column,Column
Loss before tax,"(22,696)","(322,019)"
Tax at the applicable rate of 30% (2020:25%),"(6,809)","(80,505)"
,"42,256",
Effect of changes in tax rate on deferred tax in prior year,-,"(9,824)"
,-,
Tax effects on discontinued operation,-,"14,738"
,"35,447",
