Member:,Position:,03.04.,24.05.,28.08.,30.09.*,04.11.*,28.11.
,Chairman,√,√,√,√,√,
Dr. Julius Kipngetich I,ndependent,√,√,√,√,√,√
,Executive,√,√,√,√,√,
Dr. James Mcfie,"Non-
Executive",√,√,√,√,√,√
,"Non-
Executive",√,√,√,√,√,
Samuel L. Tiampati**,"Non-
Executive",√,N/A,N/A,N/A,N/A,N/A
,"Non-
Executive",√,√,√,√,√,
Juliana Rotich I,ndependent,√,√,√,√,√,√
,ndependent,√,√,√,√,√,
Christopher Kulei***,"Non-
Executive",N/A,N/A,√,√,√,√
