Note,"2014
KShs’000","2013
KShs’000"
,"685,955
(118,416)
( 83,491)
484,048
( 82,568)
(331,335)
6,098
(407,805)
( 40,866)
397,563
(388,683)
( 31,986)
44,257
(323,589)
(279,332)",
31(a),,"515,645"
12,,"(119,128)"
15(c),,"(136,217)"
,,"260,300"
19(a),,"( 52,155)"
31(c),,"(425,002)"
,,"20,360"
,,"(456,797)"
,,-
31(d),,"712,944"
28(a),,"(563,549)"
,,"149,395"
,,"( 47,102)"
,,"(276,487)"
31(b),,"(323,589)"
