Column,Group,Column,Company,Column
Note,"2018
Shs’000","2017
Shs’000","2018
Shs’000","2017
Shs’000"
,"(116,395)",,"(110,155)",
,"(55,157)",,"(55,157)",
,"5,593",,"5,593",
,"(4,302)",,"(4,302)",
,455,,455,
,-,,-,
,-,,-,
,(291),,(291),
,"(170,097)",,"(163,857)",
,"93,947",,"93,947",
,"(5,926)",,"(5,926)",
,"(35,887)",,"(40,644)",
,"(117,963)",,"(116,480)",
,(455),,(455),
,"(58,193)",,"(58,193)",
,"(176,611)",,"(175,128)",
,"(3,581)",,"(3,581)",
,"4,302",,"4,302",
,721,,721,
,"(1,306)",,"(1,306)",
,-,,-,
,"(1,306)",,"(1,306)",
,"(177,196)",,"(175,713)",
,"245,827",,"244,279",
,(65),,-,
,"68,566",,"68,566",
