"2019
KShs ‘000
210,000
18,159
(118,158)",Column,"2019
KShs ‘000
210,000
-
(99,999)"
"110,001","437,667","110,001"
"8,847","8,847","8,847"
"8,847","8,847","8,847"
"118,848","446,514","118,848"
"4,485
-
49,284","7,591
-
243,911","4,485
-
49,284"
"53,769","251,502","53,769"
"36,014
80,554
78,189","88,851
155,161
78,254","36,014
80,554
78,189"
"194,757","322,266","194,757"
"111,728
5,258
12,692","108,956
5,416
12,882","111,728
5,258
12,692"
"129,678","127,254","129,678"
"65,079","195,012","65,079"
"118,848","446,514","118,848"
