DIRECTORS,BOARD,"FINANCE & RISK
COMMITTEE",AUDIT COMMITTEE,"REMUNERATION &
NOMINATION COMMITTEE"
Lucy Waithaka,6 (out of 6),n/a,n/a,n/a
Jackson Mutua,6 (out of 6),3 (out of 3),3 (out of 3),4 (out of 4)
Akif Butt,6 (out of 6),3 (out of 3),3 (out of 3),2 (out of 4)
Mbatha Mbithi,4 (out of 6),3 (out of 3),3 (out of 3),n/a
Catherine Ngahu,5 (out of 6),3 (out of 3),3 (out of 3),4 (out of 4)
Fauzia Shah,6 (out of 6),n/a,3 (out of 3),4 (out of 4)
