NAME,QUALIFICATION/COMPETENCY,INDEPENDENCE
Dr. Catherine Ngahu,"Consultant, Educator, Researcher And
Entrepreneur",Independent
Mr. Akif Butt,"Financial Management, Corporate Planning
And Strategic Management",Non Independent
Ms. Fauzia Shah,"Corporate And Commercial Legal Expert And
Company Secretarial Services",Independent
Ms. Mbatha Mbithi,"Finance, Banking And Investment",Non Independent
Mrs. Lucy Waithaka*,"Agribusiness, Export Marketing And Business
Management",Independent
