Column,"2021
ES ‘000"
"210,000
18,159
(187,168)","210,000
-
(203,700)"
"40,991","6,300"
"3,744
4,424","697
-"
"8,168",697
"49,159","6,997"
"7,759
3,505
31,872","3,879
1,393
37,578"
"43,136","42,850"
"38,055
42,044
77,850","18,859
38,040
59,444"
"157,949","116,343"
"4,267
129,681
4,547
13,431","3,839
109,756
4,345
34,256"
"151,926","152,196"
"6,023","(35,853)"
"49,159","6,997"
