MEMBER,COMPETENCE/EXPERTISE,CLASSIFICATION
Mrs. Lucy Waithaka (Chair),"Agribusiness, Export Marketing and
Business Management",
Mr. Joseph Sitati,"Financial Management, Retail
Management and Strategic Planning",Independent
Ms. Fauzia Shah,"Corporate & Commercial Legal Expert and
Company Secretarial Services",Independent
Mr. Akif Butt,"Financial Management, Corporate
Planning and Strategic Planning",Non - Independent
