MEMBER,COMPETENCE/EXPERTISE,CLASSIFICATION
Mrs. Lucy Waithaka (Chair),"Agribusiness, Export Marketing and
Business Management",Independent
Dr. Catherine Ngahu*,"Marketing, Consultant, Educator,
Researcher and Entrepreneur",Independent
Ms. Fauzia Shah,"Corporate & Commercial Legal Expert and
Company Secretarial Services",Independent
Mr. Akif Butt,"Financial Management, Corporate
Planning and Strategic Planning",Non - Independent
