GROUP,Column,Column
31.03.2021,"30.09.2020
KES'000
210,000
18,159
(187,168)",31.03.2021
KES'000,,KES'000
"210,000",,"210,000"
"18,159",,-
"(213,136)",,"(194,977)"
"15,023","40,991","15,023"
,"8,011
4,424",
"6,040",,"6,040"
"4,424",,"4,424"
"10,464","12,435","10,464"
,"53,426",
"25,488",,"25,488"
,"7,759
3,505
31,872",
"5,496",,"5,496"
"3,269",,"3,269"
"31,872",,"31,872"
"40,638","43,136","40,638"
,"38,055
42,044
77,850",
"27,737",,"27,737"
"41,290",,"41,290"
"59,594",,"59,594"
"128,620","157,949","128,620"
,"129,681
4,547
13,431",
"114,556",,"114,556"
"10,042",,"10,042"
"19,173",,"19,173"
"143,770","147,659","143,770"
"(15,150)","10,290","(15,150)"
,"53,426",
"25,488",,"25,488"
