GROUP,Column,COMPANY
31.03.2022,"31.09.2021
KES’000
) (34,691)
(4,285)
2,112
3,880
-
843
2,535
(4,943)
-",31.03.2022
KES’000,,KES’000
"(8,439",,"(8,439)"
"727
109",,"727
109"
"1,940",,"1,940"
"(4,871)
273",,"(4,871)
273"
"1,856",,"1,856"
"(2,423)",,"(2,423)"
-,,-
"(10,828)","(34,549)
4,004
19,196
(4,424)
(19,925)","(10,828)"
"7,960",,"7,960"
"(1,383)",,"(1,383)"
-,,-
"3,241",,"3,241"
,"(35,698)
(1,623)
(2,535)
(843)
4,943",
"(1,009)",,"(1,009)"
(356),,(356)
"(1,856)",,"(1,856)"
"(273)
2,423",,"(273)
2,423"
"(1,071)","(35,756)","(1,071"
,"-
-",
-,,-
"4,871",,"4,871"
"4,871",-,"4,871"
,"-
(3,475)
1,054",
-,,-
"(1,985)",,"(1,985)"
(556),,(556
"(2,54 2 )","(2,421 )","(2,54 2 )"
"1,258","(38,177)
67,621","1,258"
,,"29,444"
"29,444",,
"30,702","29,444","30,702"
