Name of Director,28.3.2022,20.7.2022
Michael G. Waweru,✓,✓
Amb. Denis Awori,✓,✓
Ng’ang’a Njiinu,✓,✓
Wanjuki Muchemi,✓,✓
Carole Kariuki,✓,✓
